name_original	name_display	display
Afghanistan	Afghanistan	1
AFRICA	AFRICA	1
Albania	Albania	1
Algeria	Algeria	1
American Samoa	American Samoa	1
Andorra	Andorra	1
Angola	Angola	1
Anguilla	Anguilla	1
Antigua and Barbuda	Antigua and Barbuda	1
Argentina	Argentina	1
Armenia	Armenia	1
Aruba	Aruba	1
ASIA	ASIA	1
Australia	Australia	1
Australia/New Zealand	Australia/New Zealand	0
Austria	Austria	1
Azerbaijan	Azerbaijan	1
Bahamas	Bahamas	1
Bahrain	Bahrain	1
Bangladesh	Bangladesh	1
Barbados	Barbados	1
Belarus	Belarus	1
Belgium	Belgium	1
Belize	Belize	1
Benin	Benin	1
Bermuda	Bermuda	1
Bhutan	Bhutan	1
Bolivia (Plurinational State of)	Bolivia (Plurinational State of)	1
Bosnia and Herzegovina	Bosnia and Herzegovina	1
Botswana	Botswana	1
Brazil	Brazil	1
British Virgin Islands	British Virgin Islands	1
Brunei Darussalam	Brunei Darussalam	1
Bulgaria	Bulgaria	1
Burkina Faso	Burkina Faso	1
Burundi	Burundi	1
Cabo Verde	Cabo Verde	1
Cambodia	Cambodia	1
Cameroon	Cameroon	1
Canada	Canada	1
Caribbean	Caribbean	1
Caribbean Netherlands	Caribbean Netherlands	1
Cayman Islands	Cayman Islands	1
Central African Republic	Central African Republic	1
Central America	Central America	1
Central Asia	Central Asia	1
Chad	Chad	1
Channel Islands	Channel Islands	1
Chile	Chile	1
China	China	1
China, Hong Kong SAR	China, Hong Kong SAR	1
China, Macao SAR	China, Macao SAR	1
Colombia	Colombia	1
Comoros	Comoros	1
Congo	Congo	1
Cook Islands	Cook Islands	1
Costa Rica	Costa Rica	1
Côte d'Ivoire	Côte d'Ivoire	1
Croatia	Croatia	1
Cuba	Cuba	1
Curaçao	Curaçao	1
Cyprus	Cyprus	1
Czechia	Czechia	1
Dem. People's Republic of Korea	Dem. People's Republic of Korea	1
Democratic Republic of the Congo	Democratic Republic of the Congo	1
Denmark	Denmark	1
Djibouti	Djibouti	1
Dominica	Dominica	1
Dominican Republic	Dominican Republic	1
Eastern Africa	Eastern Africa	1
Eastern Asia	Eastern Asia	1
Eastern Europe	Eastern Europe	1
Ecuador	Ecuador	1
Egypt	Egypt	1
El Salvador	El Salvador	1
Equatorial Guinea	Equatorial Guinea	1
Eritrea	Eritrea	1
Estonia	Estonia	1
Ethiopia	Ethiopia	1
EUROPE	EUROPE	1
Faeroe Islands	Faeroe Islands	1
Falkland Islands (Malvinas)	Falkland Islands (Malvinas)	1
Fiji	Fiji	1
Finland	Finland	1
France	France	1
French Guiana	French Guiana	1
French Polynesia	French Polynesia	1
Gabon	Gabon	1
Gambia	Gambia	1
Georgia	Georgia	1
Germany	Germany	1
Ghana	Ghana	1
Gibraltar	Gibraltar	1
Greece	Greece	1
Greenland	Greenland	1
Grenada	Grenada	1
Guadeloupe	Guadeloupe	1
Guam	Guam	1
Guatemala	Guatemala	1
Guinea	Guinea	1
Guinea-Bissau	Guinea-Bissau	1
Guyana	Guyana	1
Haiti	Haiti	1
High-income countries	High-income countries	1
Holy See	Holy See	1
Honduras	Honduras	1
Hungary	Hungary	1
Iceland	Iceland	1
India	India	1
Indonesia	Indonesia	1
Iran (Islamic Republic of)	Iran (Islamic Republic of)	1
Iraq	Iraq	1
Ireland	Ireland	1
Isle of Man	Isle of Man	1
Israel	Israel	1
Italy	Italy	1
Jamaica	Jamaica	1
Japan	Japan	1
Jordan	Jordan	1
Kazakhstan	Kazakhstan	1
Kenya	Kenya	1
Kiribati	Kiribati	1
Kuwait	Kuwait	1
Kyrgyzstan	Kyrgyzstan	1
Lao People's Democratic Republic	Lao People's Democratic Republic	1
LATIN AMERICA AND THE CARIBBEAN	LATIN AMERICA AND THE CARIBBEAN	1
Latvia	Latvia	1
Least developed countries	Least developed countries	1
Lebanon	Lebanon	1
Lesotho	Lesotho	1
Less developed regions	Less developed regions	1
Less developed regions, excluding least developed countries	Less developed regions, excluding least developed countries	1
Liberia	Liberia	1
Libya	Libya	1
Liechtenstein	Liechtenstein	1
Lithuania	Lithuania	1
Low-income countries	Low-income countries	1
Lower-middle-income countries	Lower-middle-income countries	1
Luxembourg	Luxembourg	1
Madagascar	Madagascar	1
Malawi	Malawi	1
Malaysia	Malaysia	1
Maldives	Maldives	1
Mali	Mali	1
Malta	Malta	1
Marshall Islands	Marshall Islands	1
Martinique	Martinique	1
Mauritania	Mauritania	1
Mauritius	Mauritius	1
Mayotte	Mayotte	1
Melanesia	Melanesia	1
Mexico	Mexico	1
Micronesia	Micronesia	1
Micronesia (Fed. States of)	Micronesia (Fed. States of)	1
Middle Africa	Middle Africa	1
Middle-income countries	Middle-income countries	1
Monaco	Monaco	1
Mongolia	Mongolia	1
Montenegro	Montenegro	1
Montserrat	Montserrat	1
More developed regions	More developed regions	1
Morocco	Morocco	1
Mozambique	Mozambique	1
Myanmar	Myanmar	1
Namibia	Namibia	1
Nauru	Nauru	1
Nepal	Nepal	1
Netherlands	Netherlands	1
New Caledonia	New Caledonia	1
New Zealand	New Zealand	1
Nicaragua	Nicaragua	1
Niger	Niger	1
Nigeria	Nigeria	1
Niue	Niue	1
Northern Africa	Northern Africa	1
NORTHERN AMERICA	NORTHERN AMERICA	1
Northern Europe	Northern Europe	1
Northern Mariana Islands	Northern Mariana Islands	1
Norway	Norway	1
OCEANIA	OCEANIA	1
Oman	Oman	1
Pakistan	Pakistan	1
Palau	Palau	1
Panama	Panama	1
Papua New Guinea	Papua New Guinea	1
Paraguay	Paraguay	1
Peru	Peru	1
Philippines	Philippines	1
Poland	Poland	1
Polynesia	Polynesia	1
Portugal	Portugal	1
Puerto Rico	Puerto Rico	1
Qatar	Qatar	1
Republic of Korea	Republic of Korea	1
Republic of Moldova	Republic of Moldova	1
Réunion	Réunion	1
Romania	Romania	1
Russian Federation	Russian Federation	1
Rwanda	Rwanda	1
Saint Helena	Saint Helena	1
Saint Kitts and Nevis	Saint Kitts and Nevis	1
Saint Lucia	Saint Lucia	1
Saint Pierre and Miquelon	Saint Pierre and Miquelon	1
Saint Vincent and the Grenadines	Saint Vincent and the Grenadines	1
Samoa	Samoa	1
San Marino	San Marino	1
Sao Tome and Principe	Sao Tome and Principe	1
Saudi Arabia	Saudi Arabia	1
Senegal	Senegal	1
Serbia	Serbia	1
Seychelles	Seychelles	1
Sierra Leone	Sierra Leone	1
Singapore	Singapore	1
Sint Maarten (Dutch part)	Sint Maarten (Dutch part)	1
Slovakia	Slovakia	1
Slovenia	Slovenia	1
Solomon Islands	Solomon Islands	1
Somalia	Somalia	1
South Africa	South Africa	1
South America	South America	0
South Sudan	South Sudan	1
South-Eastern Asia	South-Eastern Asia	1
Southern Africa	Southern Africa	1
Southern Asia	Southern Asia	1
Southern Europe	Southern Europe	1
Spain	Spain	1
Sri Lanka	Sri Lanka	1
State of Palestine	State of Palestine	1
Sub-Saharan Africa	Sub-Saharan Africa	1
Sudan	Sudan	1
Suriname	Suriname	1
Swaziland	Swaziland	1
Sweden	Sweden	1
Switzerland	Switzerland	1
Syrian Arab Republic	Syrian Arab Republic	1
Tajikistan	Tajikistan	1
TFYR Macedonia	TFYR Macedonia	1
Thailand	Thailand	1
Timor-Leste	Timor-Leste	1
Togo	Togo	1
Tokelau	Tokelau	1
Tonga	Tonga	1
Trinidad and Tobago	Trinidad and Tobago	1
Tunisia	Tunisia	1
Turkey	Turkey	1
Turkmenistan	Turkmenistan	1
Turks and Caicos Islands	Turks and Caicos Islands	1
Tuvalu	Tuvalu	1
Uganda	Uganda	1
Ukraine	Ukraine	1
United Arab Emirates	United Arab Emirates	1
United Kingdom	United Kingdom	1
United Republic of Tanzania	United Republic of Tanzania	1
United States of America	United States of America	1
United States Virgin Islands	United States Virgin Islands	1
Upper-middle-income countries	Upper-middle-income countries	1
Uruguay	Uruguay	1
Uzbekistan	Uzbekistan	1
Vanuatu	Vanuatu	1
Venezuela (Bolivarian Republic of)	Venezuela (Bolivarian Republic of)	1
Viet Nam	Viet Nam	1
Wallis and Futuna Islands	Wallis and Futuna Islands	1
Western Africa	Western Africa	1
Western Asia	Western Asia	1
Western Europe	Western Europe	1
Western Sahara	Western Sahara	1
WORLD	WORLD	1
Yemen	Yemen	1
Zambia	Zambia	1
Zimbabwe	Zimbabwe	1
