id,id2,unusual_flag,worst_flag,date,decade,year,month,cnmsn,first_flight,type,make,model,status,nature,departure_airport,departure_airport_formatted,departure_airport_lat,departure_airport_lng,departure,destination_airport,destination_airport_formatted,destination_airport_lat,destination_airport_lng,destination_country,accident_country,accident_location,accident_airport,location_full,phase_old,phase,phase_code,passengers_text,crew_text,total_text,passengers_occupants,crew_occupants,total_occupants,passengers_fatalities,crew_fatalities,total_fatalities,total_survivors,ground_casualties,total_occupants_old,passengers_occupants_old,airplane_damage,date_text,registration,operator,narrative
15896,15896,48,0,8/25/2010,2010,2010,7,912608,1991,Let L-410UVP-E20C,Let,L-410UVP-E20,Preliminary,Domestic Scheduled Passenger,"Semendwa Airport (FZBS), Congo (Democratic Republic)",null,null,null, Congo (Democratic Republic),"Bandundu Airport (FDU/FZBO), Congo (Democratic Republic)","Bandundu Airport (FDU), Bandundu, Democratic Republic of the Congo",-3.3114111,17.3816492,New Zealand,Democratic Republic Congo,,,near Bandundu Airport (FDU) (Congo (Democratic Republic)),Approach (APR),Approach ,APR,Fatalities: 17 / Occupants: 18,Fatalities: 3 / Occupants: 3,Fatalities: 20 / Occupants: 21,18,3,21,17,3,20,1,0,,18,Destroyed,Wednesday 25 August 2010,9Q-CCN,Filair,"A Filair Let 410 passenger plane, registered 9Q-CCN, was destroyed in an accident near Bandundu Airport (FDU), D.R Congo. Twenty occupants died, one survived. The airplane was destroyed, there was no fire.The airplane operated on a flight to Kinshasa to Kiri, Bokoro, Semendwa, Bandundu and back to Kinshasa.The airplane reportedly came down in the village while on final approach to the airport. Media reports suggested fuel starvation, but a Filair spokesman reported that there were 150 litres of fuel in the tanks. The airplane nosed down in the village shortly before landing.According media reports the accident occurred after a contraband crocodile escaped a carry-on bag and entered the cabin. A flight attendant ran off towards the flight deck, followed by passengers. Thus the center of gravity moved too much to the front. The pilots lost control and the aircraft crashed."
15158,15158,47,0,8/27/2006,2000,2006,6,7472,2001,Canadair CL-600-2B19 Regional Jet CRJ-100ER,Canadair,CL-600-2B16 Challenger 601-3R,Final,Domestic Scheduled Passenger,"Lexington-Blue Grass Airport, KY (LEX/KLEX), United States of America","Blue Grass Airport (LEX), 4000 Terminal Dr, Lexington, KY 40510, USA",38.03776149999999,-84.6026083,United States of America,"Atlanta Hartsfield-Jackson International Airport, GA (ATL/KATL), United States of America","Hartsfield-Jackson Atlanta International Airport (ATL), 6000 N Terminal Pkwy, Atlanta, GA 30320, USA",33.6407282,-84.4277001,United States of America,United States of America,,,"Lexington-Blue Grass Airport, KY (LEX) (United States of America)",Takeoff (TOF),Takeoff ,TOF,Fatalities: 47 / Occupants: 47,Fatalities: 2 / Occupants: 3,Fatalities: 49 / Occupants: 50,47,3,50,47,2,49,1,0,,47,Damaged beyond repair,Sunday 27 August 2006,N431CA,0,"Weather at Lexington (LEX) was fine on the morning of Augst 27 (METAR for 05:54 local: KLEX 270954Z 20007KT 8SM FEW090 SCT120 24/19 A3000) with a small shower approaching from the West.It was still dark just after 06:00 as Comair flight 5191 taxied out for takeoff. The crew were cleared for a runway 22 departure, which is Lexington's main runway. Because the runway was repaved just recently with an added safety area at the approach end of runway 22, one taxiway was no longer in use. Since August 20 the taxi route to runway 22 was changed. The crew lined up on the shorter (3500 x 75 feet) and unlit runway 26. The first officer commenced the takeoff roll. One of the pilots made a remark about the lack of runway light illumination, but the takeoff was continued. The fully laden CRJ was not able to rotate within the 3500 feet runway distance and continued past the runway end. It knocked down a metal fence and continued onto a field. The airplane struck several trees and burst into flames on a working farm.NASA ASRS records show a possible similar scenario when some 13 years ago a twin engine passenger jet inadvertently taxied into position on runway 26 at LEX while being cleared for an immediate runway 22 takeoff. The tower controller noticed this and cancelled the takeoff clearance. According to the report ""Possible contributing factors were poor visibility and wx (rain), confusing rwy intxn and twr's request for an immediate tkof.""In the meantime work had been performed on the runways at LEX. Since October 2003 for instance a runway resurfacing project was started. The project also added 600 feet of safety area at each runway end."
14158,14158,46,0,8/24/2001,2000,2001,6,271,1999,Airbus A330-243,Airbus,A330-243,Final,International Scheduled Passenger,"Toronto-Pearson International Airport, ON (YYZ/CYYZ), Canada","Toronto Pearson International Airport (YYZ), 6301 Silver Dart Dr, Mississauga, ON L5P 1B2, Canada",43.67771760000001,-79.6248197,Canada,"Lisboa-Portela de Sacav??m Airport (LIS/LPPT), Portugal","Lisbon Portela Airport (LIS), Alameda das Comunidades Portuguesas, 1700-111 Lisboa, Portugal",38.7755936,-9.135366699999999,Portugal,Portugal,,,"Terceira-Lajes AFB, Azores (LFB) (Portugal)",En route (ENR),En route ,ENR,Fatalities: 0 / Occupants: 293,Fatalities: 0 / Occupants: 13,Fatalities: 0 / Occupants: 306,293,13,306,0,0,0,306,0,,293,Substantial,Friday 24 August 2001,C-GITS,Air Transat,"Air Transat Flight TS236, was en route at FL390 when at 05:36 UTC, the crew became aware of a fuel imbalance between the left and right-wing main fuel tanks. Five minutes later the crew concerned about the lower-that-expected fuel quantity indication, decided to divert to Lajes Airport in the Azores. At 05:48 UTC, when the crew ascertained that a fuel leak could be the reason for the possible fuel loss, an emergency was declared to Santa Maria Oceanic Control. At 06:13, at a calculated distance of 135 miles from Lajes, the right engine (Rolls-Royce Trent 772B) flamed out. At 06:26, when the aircraft was about 85 nm from Lajes and at an altitude of about FL345, the left engine flamed out. At 06:39 the aircraft was at 13,000 feet and 8 miles from the threshold of runway 33. An engines-out visual approach was carried out and the aircraft landed on runway 33. Eight of the plane's ten tyres burst during the landing.Investigation has determined that a low-pressure fuel line on the right engine, had failed probably as the result of its coming into contact with an adjacent hydraulic line."
13934,13934,45,0,5/25/2000,2000,2000,6,0,0,Airbus A330-301,Airbus,A330-301,0,Domestic Scheduled Passenger,"Davao City-Francisco Bangoy International Airport (DVO/RPMD), Philippines","Francisco Bangoy (Davao) International Airport, Daang Maharlika Highway, Buhangin, Davao City, 8000 Davao del Sur, Philippines",7.128764100000001,125.6460784,Philippines,"Manila-Ninoy Aquino International Airport (MNL/RPLL), Philippines","Ninoy Aquino International Airport (MNL), Andrews Ave, Pasay, 1300 Metro Manila, Philippines",14.5122739,121.016508,Philippines,Philippines,,,near Manila (Philippines),En route (ENR),En route ,ENR,Fatalities: 1 / Occupants: 284,Fatalities: 0 / Occupants: 14,Fatalities: 1 / Occupants: 298,284,14,298,1,0,1,297,0,,284,Unknown,Thursday 25 May 2000,F-OHZ.,Philippine Air Lines,Passengers robbed; hijacker jumped out with homemade parachute- he was killed in the jump.
13761,13760,44,0,7/23/1999,1990,1999,6,27442/1066,1995-07-18 (4 years ),Boeing 747-481D,Boeing,747-481D,0,Domestic Scheduled Passenger,"Tokyo-Haneda Airport (HND/RJTT), Japan","Haneda Airport (HND), Hanedakuko, Ōta, Tokyo 144-0041, Japan",35.5493932,139.7798386,Japan,"Sapporo-Chitose Airport (CTS/RJCC), Japan","New Chitose Airport (CTS), Bibi, Chitose, Hokkaido 066-0012, Japan",42.7925942,141.6704786,Japan,Japan,,,near Tokyo (Japan),En route (ENR),En route ,ENR,Fatalities: 0 / Occupants: 503,Fatalities: 1 / Occupants: 14,Fatalities: 1 / Occupants: 517,503,14,517,0,1,1,516,0,,503,None,Friday 23 July 1999,JA8966,All Nippon Airways - ANA,"A male Japanese passenger produced an 8-inch knife, forced his way into the flight deck, and ordered out the First Officer. The hijacker ordered the pilot to fly the plane to the American air base at Yokota. During the flight, the hijacker asked to fly the plane. When his request was refused, the man stabbed the pilot multiple times in the neck and shoulder, severely injuring him, and the plane went into a steep dive. Upon hearing the pilot???s screams, the copilot and others entered the cockpit, subdued the hijacker, and stopped the plane???s descent. The copilot flew the plane back to Haneda Airport and landed less than 90 minutes after having taken off. Although the plane landed safely, the pilot bled to death from his wounds en route. The hijacker was taken into custody.It is believed that the man hijacked the plane because, in his perception, Haneda Airport officials had failed to heed his warnings about security problems. He had claimed that these problems made Japanese airliners easy prey for hijackers. The hijacker also reportedly told investigators that he hijacked the plane because he wanted to fly a jumbo jet. He boasted of his piloting ability in flight simulation games."
13336,13336,43,0,5/15/1997,1990,1997,6,9510640,1975,Yakovlev 40,Yakovlev,40,0,Training,"Gyandzha Airport (KVD/UBBG), Azerbaijan","Ganja Airport (KVD), Gəncə AZ 2000, Azerbaijan",40.7394875,46.2997587,Azerbaijan,"Gyandzha Airport (KVD/UBBG), Azerbaijan","Ganja Airport (KVD), Gəncə AZ 2000, Azerbaijan",40.7394875,46.2997587,Azerbaijan,Azerbaijan,,,"5,2 km (3.3 mls) from Gyandzha Airport (KVD) (Azerbaijan)",Approach (APR),Approach ,APR,Fatalities: 0 / Occupants: 0,Fatalities: 6 / Occupants: 6,Fatalities: 6 / Occupants: 6,0,6,6,0,6,6,0,0,,0,Damaged beyond repair,Thursday 15 May 1997,4K-87504,Azerbaijan Airlines,"A number of Azerbaijani soldiers were returning to camp after a small arms practice and had begun shooting at a road sign. At the same time a Yakovlev 40 was returning from a training flight and overflew the area. A number of stray bullets struck the Yak and hit an oxygen cylinder. A fire broke out and control was lost. The aircraft crashed 5160m short of the runway, 95m left of the extended centerline."
13235,13235,42,97,11/23/1996,1990,1996,6,23916/187,1987-09-17 (9 years 2 months),Boeing 767-260ER,Boeing,767-241ER,0,International Scheduled Passenger,"Addis Ababa-Bole Airport (ADD/HAAB), Ethiopia","Addis Ababa Airport (ADD), Addis Ababa, Ethiopia",8.9800689,38.7989319,Ethiopia,"Nairobi-Jomo Kenyatta International Airport (NBO/HKNA), Kenya","Jomo Kenyatta International Airport (NBO), Embakasi, Nairobi, Kenya",-1.3227102,36.9260693,Kenya,Comoros,,,"0,5 km (0.3 mls) off Grande Comore (Comoros)",Approach (APR),Approach ,APR,Fatalities: 119 / Occupants: 163,Fatalities: 6 / Occupants: 12,Fatalities: 125 / Occupants: 175,163,12,175,119,6,125,50,0,,163,Destroyed,Saturday 23 November 1996,ET-AIZ,Ethiopian Airlines,"Flight ET961 had taken off from Addis Ababa for a flight to Abidjan via Nairobi, Brazzaville and Lagos. Shortly after entering Kenyan airspace 3 men seized the aircraft and demanded to be flown to Australia. Approaching the Comores the aircraft began to run out of fuel. The pilot attempted to carry out a controlled ditching in the shallow, sheltered waters 500m off Le Galawa Beach. The left engine and wingtip struck the water, causing the aircraft to break up and crash."
13205,13205,41,0,10/2/1996,1990,1996,6,25489/505,1992,Boeing 757-23A,Boeing,757-225,Final,International Scheduled Passenger,"Lima-Jorge Chavez International Airport (LIM/SPIM), Peru","Jorge Chavez International Airport (LIM), Vía Expresa Elmer Faucett s/n, Callao 07031, Peru",-12.0240527,-77.112036,Peru,"Santiago-Arturo Merino Benitez Airport (SCL/SCEL), Chile","Comodoro Arturo Merino Benítez International Airport - Aeropuerto SCL, Pudahuel, Región Metropolitana, Chile",-33.39013449999999,-70.794162,Chile,Pacific Ocean,,,"89 km (55.6 mls) NW off Lima, Peru (Pacific Ocean)",En route (ENR),En route ,ENR,Fatalities: 61 / Occupants: 61,Fatalities: 9 / Occupants: 9,Fatalities: 70 / Occupants: 70,61,9,70,61,9,70,0,0,,61,Destroyed,Wednesday 2 October 1996,N52AW,AeroPeru,"Flight 603 took off from Lima runway 15 at 12:42 am for a flight to Santiago. Five minutes after take-off the crew reported problems with their instruments and stated they wanted to return to the airport. During the initial climb, the airspeed and altitude indications were too low. In calm winds, the windshear warning suddenly sounded. The aircraft climbed to FL130, before a return to Lima was initiated. While returning, the captain's airspeed and altitude indications were too high, causing an overspeed warning. At the same time, the co-pilot's airspeed indications were too low, triggering the stick shaker.The aircraft kept descending and impacted the water with the left wing and no. 1 engine at a 10 degrees angle, at a speed of 260 knots. The aircraft pulled up to about 200 feet and crashed inverted. The captain's airspeed indicated 450 knots and altitude 9500 feet.The aircraft had flown approx. 2630 cycles.Investigation results showed that the aircraft's three static ports on the left side were obstructed by masking tape. The tape had been applied before washing and polishing of the aircraft prior to the accident flight."
13129,13129,40,0,5/11/1996,1990,1996,6,47377/496,1969,McDonnell Douglas DC-9-32,McDonnell Douglas,C-17A Globemaster III,Final,Domestic Scheduled Passenger,"Miami International Airport, FL (MIA/KMIA), United States of America","Miami International Airport (MIA), 2100 NW 42nd Ave, Miami, FL 33126, USA",25.795865,-80.2870457,United States of America,"Atlanta-William B. Hartsfield International Airport, GA (ATL/KATL), United States of America","Hartsfield-Jackson Atlanta International Airport (ATL), 6000 N Terminal Pkwy, Atlanta, GA 30320, USA",33.6407282,-84.4277001,United States of America,United States of America,,,"Everglades, FL (United States of America)",En route (ENR),En route ,ENR,Fatalities: 105 / Occupants: 105,Fatalities: 5 / Occupants: 5,Fatalities: 110 / Occupants: 110,105,5,110,105,5,110,0,0,,105,Destroyed,Saturday 11 May 1996,N904VJ,ValuJet Airlines,"ValuJet Flight 592 was a scheduled flight from Miami (MIA) to Atlanta (ATL). The inbound flight had been delayed and arrived at Miami at 13:10. Flight 592 had been scheduled to depart at 13:00. The cruising altitude was to be flight level 350 with an estimated time en route of 1 hour 32 minutes. The DC-9 was loaded with 4,109 pounds of cargo (baggage, mail, and company-owned material (COMAT)). The COMAT consisted of two main tires and wheels, a nose tire and wheel, and five boxes that were described as ""Oxy Cannisters -???Empty.???"" This cargo was loaded in the forward cargo compartment. Flight 592 was pushed back from the gate shortly before 13:40. The DC-9 then taxied to runway 09L. At 14:03:24, ATC cleared the flight for takeoff and the flightcrew acknowledged the clearance. At 14:04:24, the flightcrew was instructed by ATC to contact the north departure controller. At 1404:32, the first officer made initial radio contact with the departure controller, advising that the airplane was climbing to 5,000 feet. Four seconds later, the departure controller advised flight 592 to climb and maintain 7,000 feet. The first officer acknowledged the transmission. At 14:07:22, the departure controller instructed flight 592 to ""turn left heading three zero zero join the WINCO transition climb and maintain one six thousand,"" which was acknowledged. At 14:10:03, the flight crew heard a sound, after which the captain remarked, ""What was that?"" At that moment, the airplane was at 10,634 feet msl, 260 knots indicated airspeed (KIAS), and both engine pressure ratios (EPRs) were 1.84. At 14:10:15, the captain stated, ""We got some electrical problem,"" followed 5 seconds later with, ""We???re losing everything."" At 14:10:21, the departure controller advised flight 592 to contact Miami on frequency 132.45 mHz. At 14:10:22, the captain stated, ""We need, we need to go back to Miami,"" followed 3 seconds later by shouts in the background of ""fire, fire, fire, fire."" At 14:10:27, the CVR recorded a male voice saying, ""We???re on fire, we???re on fire."" At 14:10:28, the controller again instructed flight 592 to contact Miami Center. At 14:10:31, the first officer radioed that the flight needed an immediate return to Miami. The controller replied, ""Critter five ninety two uh roger turn left heading two seven zero descend and maintain seven thousand."" The first officer acknowledged the heading and altitude. The peak altitude reached was 10,879 feet msl at 14:10:31, and about 10 seconds a wings-level descent started. Shouting in the cabin subsided. The controller then queried flight 592 about the nature of the problem. The captain stated ""fire"" and the first officer replied, ""uh smoke in the cockp... smoke in the cabin."" The controller responded, ""roger"" and instructed flight 592, when able, to turn left to a heading of two five zero and to descend and maintain 5,000 feet. At 14:11:12, a flight attendant was heard shouting, ""completely on fire."" The DC-9 began to change heading to a southerly direction and at 14:11:26, the north departure controller advised the controller at Miami Center that flight 592 was returning to Miami with an emergency. At 14:11:37, the first officer transmitted that they needed the closest available airport. At 1411:41, the controller replied, ""Critter five ninety two they???re gonna be standing (unintelligible) standing by for you, you can plan runway one two when able direct to Dolphin [a navaid] now."" At 14:11:46, the first officer responded that the flight needed radar vectors. At 14:11:49, the controller instructed flight 592 to turn left heading one four zero. The first officer acknowledged the transmission. At 14:12:45, the controller transmitted, ""Critter five ninety two keep the turn around heading uh one two zero."" There was no response from the flightcrew. The last recorded FDR data showed the airplane at 7,200 feet msl, at a speed of 260 KIAS, and on a heading of 218 degrees. At 14:12:48, the FDR stopped recording data. The airplane???s radar transponder continued to function; thus, airplane position and altitude data were recorded by ATC after the FDR stopped. At 14:13:18, the departure controller instructed, ""Critter five ninety two you can uh turn left heading one zero zero and join the runway one two localizer at Miami."" Again there was no response. At 14:13:27, the controller instructed flight 592 to descend and maintain 3,000 feet. At 1413:37, an unintelligible transmission was intermingled with a transmission from another airplane. No further radio transmissions were received from flight 592. At 14:13:43, the departure controller advised flight 592, ""Opa Locka airport???s about 12 o???clock at 15 miles."" The accident occurred at 14:13:42. Ground scars and wreckage scatter indicated that the airplane crashed into the Everglades in a right wing down, nose down attitude."
12722,12718,39,0,3/23/1994,1990,1994,6,596,1991-09-11 (2 years 6 months),Airbus A310-304,Airbus,A310-304,0,International Scheduled Passenger,"Moskva-Sheremetyevo Airport (SVO/UUEE), Russia","Sheremetyevo International Airport, Khimki, Moscow Oblast, Russia, 141400",55.9736482,37.412503,Russia,"Hong Kong-Kai Tak International Airport (HKG/VHHH), Hong Kong","Hong Kong International Airport (HKG), 1 Sky Plaza Rd, Chek Lap Kok, Hong Kong",22.308047,113.9184808,Hong Kong,Russia,,,near Mezhduretshensk (Russia),En route (ENR),En route ,ENR,Fatalities: 63 / Occupants: 63,Fatalities: 12 / Occupants: 12,Fatalities: 75 / Occupants: 75,63,12,75,63,12,75,0,0,,63,Damaged beyond repair,Wednesday 23 March 1994,F-OGQS,Aeroflot Russian International Airlines,"The aircraft was en route from Moscow to Hong Kong at 10100m when, approaching the Novokuznetsk reporting point, the captain's daughter entered the cockpit. She was allowed to sit the left-hand seat while the captain demonstrated some autopilot features, using HDG/S and NAV submodes to alter the heading. The captain's son then took the left front seat. The captain intended to demonstrate the same manoeuvre when his son asked if he could turn the control wheel. He then turned the wheel slightly (applying a force of between 8-10kg) and held it in that position for a few seconds before returning the wheel to the neutral position. The captain then demonstrated the same features as he did to his daughter and ended by using the NAV submode to bring the aircraft back on course. As the autopilot attempted to level the aircraft at its programmed heading, it came in conflict with the inputs from the control wheel which was blocked in a neutral position. Forces on the control wheel increased to 12-13kg until the torque limiter activated by disconnecting the autopilot servo from the aileron control linkage. The autopilot remained engaged however. The aircraft then started to bank to the right at 2,5deg/sec, reaching 45deg. when the autopilot wasn't able to maintain altitude. The A.310 started buffeting, which caught the attention of the captain who told the co-pilot to take control while he was trying to regain his seat. The seat of the co-pilot was fully aft, so it took him an additional 2-3 seconds to get to the control wheel. The bank continued to 90deg, the aircraft pitched up steeply with +4,8g accelerations, stalled and entered a spin. Two minutes and six seconds later the aircraft struck the ground."
11719,11719,38,0,2/24/1989,1980,1989,6,19875/89,1970-10-20 (18 years 4 months),Boeing 747-122,Boeing,747-122,Final,International Scheduled Passenger,"Honolulu International Airport, HI (HNL/PHNL), United States of America","Honolulu International Airport (HNL), 300 Rodgers Blvd, Honolulu, HI 96819, USA",21.3245132,-157.9250736,United States of America,"Auckland International Airport (AKL/NZAA), New Zealand","Auckland Airport (AKL) Ray Emery Dr, Auckland Airport, Auckland 2022, New Zealand",-37.0082476,174.7850358,New Zealand,Pacific Ocean,,,Pacific Ocean (Pacific Ocean),En route (ENR),En route ,ENR,Fatalities: 9 / Occupants: 337,Fatalities: 0 / Occupants: 18,Fatalities: 9 / Occupants: 355,337,18,355,9,0,9,346,0,,337,Substantial,Friday 24 February 1989,N4713U,United Air Lines,"United Airlines flight 811 experienced an explosive decompression as it was climbing between 22,000 and 23,000 feet after taking off from Honolulu, Hawaii, en route to Auckland and Sydney. The airplane made a successful emergency landing at Honolulu and the occupants evacuated the airplane. Examination of the airplane revealed that the forward lower lobe cargo door had separated in flight and had caused extensive damage to the fuselage and cabin structure adjacent to the door. Nine of the passengers had been ejected from the airplane and lost at sea."
11689,11689,37,0,1/8/1989,1980,1989,6,23867/1603,1988-10-06 (3 months),Boeing 737-4Y0,Boeing,737-4Y0,Final,Domestic Scheduled Passenger,"London-Heathrow Airport (LHR/EGLL), United Kingdom","Heathrow Airport (LHR), Longford TW6, UK",51.4700223,-0.4542955,United Kingdom,"Belfast International Airport (BFS/EGAA), United Kingdom","Belfast International Airport (BFS), Airport Rd, Belfast BT29 4AB, UK",54.661781,-6.2162444,United Kingdom,United Kingdom,,,Kegworth (United Kingdom),Approach (APR),Approach ,APR,Fatalities: 47 / Occupants: 118,Fatalities: 0 / Occupants: 8,Fatalities: 47 / Occupants: 126,118,8,126,47,0,47,79,0,,118,Damaged beyond repair,Sunday 8 January 1989,G-OBME,British Midland Airways - BMA,"Flight 092 took off from London at 19:52 for a flight to Belfast. Some 13 minutes later, while climbing through FL283, moderate to severe vibration was felt, accompanied by a smell of fire in the cockpit. The outer panel of one of the no. 1 engine fan blades detached, causing compressor stalls and airframe shuddering. Believing the No. 2 engine had been damaged the crew throttled it back. The shuddering stopped and the No 2 engine was shut down. The crew then decided to divert to East Midlands. The flight was cleared for a runway 27 approach. At 900 feet, 2.4nm from the runway, no. 1 engine power suddenly decreased. As the speed fell below 125 knots, the stick shaker activated and the aircraft struck trees at a speed of 115 knots. The aircraft continued and impacted the western carriageway of the M1 motorway 10m lower and came to rest against the wooded embankment, 900m short of the runway."
11081,11083,36,0,8/15/1985,1980,1985,6,20374/838,1970-02-20 (15 years 6 months),Boeing 707-336C,Boeing,707-336C,0,Scheduled Passenger,"Aden International Airport (ADE/ODAA), Yemen","Aden International Airport, Aden, Yemen",12.8253779,45.03708959999999,Yemen,?,null,null,null,,Yemen,,,Aden (Yemen),En route (ENR),En route ,ENR,Fatalities: 2 / Occupants: 65,Fatalities: 1 / Occupants: 8,Fatalities: 3 / Occupants: 73,65,8,73,2,1,3,70,0,,65,Substantial,Thursday 15 August 1985,7O-ACO,Alyemda,"Climbing through FL230, water inadvertently spilled on the autopilot panel and the crew had to disengage the autopilot because the stabilizer trim wheel started to rotate. Control was lost as the plane pitched up and down. Control was regained at 1000 feet and an emergency landing was carried out at Aden."
11020,11021,35,0,4/16/1985,1980,1985,6,20611/894,1972-07-20 (12 years 9 months),Boeing 727-227,Boeing,727-227,Final,Domestic Scheduled Passenger,"Dallas/Fort Worth International Airport, TX (DFW/KDFW), United States of America","DFW International Airport (DFW), 2400 Aviation Drive North, DFW Airport, TX 75261, USA",32.8998091,-97.0403352,United States of America,"San Diego International Airport, CA (SAN/KSAN), United States of America","San Diego International Airport (SAN), 3225 N Harbor Dr, San Diego, CA 92101, USA",32.7338006,-117.1933038,United States of America,United States of America,,,"Las Cruces, NM (United States of America)",En route (ENR),En route ,ENR,Fatalities: 0 / Occupants: 81,Fatalities: 0 / Occupants: 8,Fatalities: 0 / Occupants: 89,81,8,89,0,0,0,89,0,,81,Unknown,Tuesday 16 April 1985,N718AA,American Airlines,"While cruising at FL350 in clear smooth air, a loud noise was heard, accompanied by a severe jolt as the no. 3 engine separated from its mounts. It appeared that the forward lavatory was leaking deodorant fluid and water. Leakage of the lavatory waste drain valve was the result of a damaged ""O"" ring seal. Frozen fluid and water was ingested by the no. 3 engine. Fanblades failed and the engine broke away due to overload forces."
10929,10929,34,36,10/11/1984,1980,1984,6,77A-243,1977,Tupolev 154B-1,Tupolev,154B-1,0,Domestic Scheduled Passenger,"Krasnodar Airport (KRR/URKK), Russia","Krasnodar International Airport, g., Краснодар, Краснодарский край, Russia, 350037",45.0317867,39.1666809,Russia,"Omsk Airport (OMS/UNOO), Russia","Omsk Central Airport, Transsibirskaya Ulitsa, 28, Omsk, Omskaya oblast', Russia, 644103",54.957801,73.316533,Russia,Russia,,,Omsk Airport (OMS) (Russia),Landing (LDG),Landing ,LDG,Fatalities: 169 / Occupants: 170,Fatalities: 5 / Occupants: 9,Fatalities: 174 / Occupants: 179,170,9,179,169,5,174,5,4,,170,Destroyed,Thursday 11 October 1984,CCCP-85243,"Aeroflot, East Siberia Civil Aviation Directorate","Flight 3352 as approaching Omsk in poor weather; light rain, visibility 2 miles, 300 feet ceiling. Landing lights were switched off as they caused a reflection due to the drizzle. Immediately after touching down at a speed of about 140 knots the crew noticed snow cleaning vehicles on the runway. An evasive manoeuvre was of no avail as the aircraft struck two vehicles and crashed in flames. One of the controllers had fallen asleep and thus failed to inform the approach controller about the presence of the vehicles."
